numberOfData, addingTime, findingTime, deletingTime
804, 500, 1300, 1200
805, 500, 1900, 1500
806, 1100, 1100, 1200
807, 500, 1200, 1100
808, 3200, 7700, 3200
809, 1800, 2200, 3500
810, 1000, 1000, 12000
811, 1500, 1800, 5300
812, 600, 1000, 1100
813, 1100, 1000, 1300
814, 1500, 2700, 1700
815, 1300, 1100, 900
816, 900, 1000, 1000
817, 2100, 1000, 900
818, 1200, 1100, 2900
819, 1000, 1000, 4800
820, 1500, 1200, 1100
821, 800, 1000, 1900
822, 500, 1000, 900
823, 2500, 1100, 2100
824, 700, 1100, 1900
825, 800, 1000, 1400
826, 700, 1100, 1200
827, 400, 2200, 1000
828, 1000, 1000, 900
829, 800, 1000, 1100
830, 1100, 1900, 1100
831, 900, 1000, 1000
832, 1000, 1000, 1000
833, 500, 1700, 1000
834, 600, 1000, 1000
835, 900, 1000, 1000
836, 400, 1900, 1600
837, 400, 1000, 1900
838, 1100, 1200, 1000
839, 700, 1000, 1000
840, 400, 2100, 900
841, 700, 1000, 1000
842, 500, 1000, 1000
843, 400, 1900, 1000
844, 400, 1600, 1000
845, 600, 1000, 1000
846, 400, 1900, 1000
847, 700, 1100, 2200
848, 600, 1400, 1100
849, 1300, 1100, 1100
850, 1300, 1000, 1900
851, 600, 1400, 1100
852, 700, 1100, 1000
853, 300, 1000, 2000
854, 800, 1100, 1000
855, 900, 1500, 1000
856, 500, 1000, 2200
857, 600, 1400, 2500
858, 1300, 1300, 1000
859, 700, 2100, 1000
860, 800, 1000, 900
861, 500, 1100, 900
862, 600, 2000, 1100
863, 1000, 1500, 1000
864, 500, 1000, 1000
865, 900, 2200, 1000
866, 600, 1100, 2000
867, 900, 1100, 1500
868, 500, 1000, 1000
869, 800, 1100, 1900
870, 800, 1000, 1300
871, 700, 1200, 1000
872, 1200, 1000, 1800
873, 500, 1000, 1100
874, 800, 1000, 1100
875, 600, 900, 2200
876, 500, 1100, 1000
877, 1000, 1000, 1000
878, 900, 1800, 1100
879, 400, 1000, 1100
880, 400, 1000, 1000
881, 500, 1900, 1100
882, 700, 1000, 1200
883, 1700, 1200, 1000
884, 200, 1800, 1000
885, 800, 1000, 1000
886, 1000, 2100, 1300
887, 300, 1400, 900
888, 1000, 1100, 2000
889, 600, 1300, 1200
890, 2700, 1000, 1000
891, 700, 1000, 2500
892, 700, 1000, 1500
893, 500, 1000, 1300
894, 3600, 1700, 3100
895, 1200, 1200, 1000
896, 600, 1300, 1000
897, 300, 1700, 1000
